"bobine","original_lvl1","original_lvl2","original_lvl3","original_lvl4","original_lvl5","root","nextl1","nextl2","nextl3","nextl4","nextl5","n1","n2","n3","n4","n5","nretrabalhos","st"
"30220110-02-01","20211113-05-16",NULL,NULL,NULL,NULL,"20211113-05-16",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"30220110-03-01","20211113-06-16",NULL,NULL,NULL,NULL,"20211113-06-16",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"30220110-05-01","30220110-04-01","20211113-04-16",NULL,NULL,NULL,"20211113-04-16",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,2,0
"30220110-08-01","20211113-11-16",NULL,NULL,NULL,NULL,"20211113-11-16",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0
"30220110-13-01","30220108-40-01","20211206-07-15",NULL,NULL,NULL,"20211206-07-15","30220108-40-01","30210618-09-01",NULL,NULL,NULL,0,1,0,0,0,2,2
"30220110-13-01","30220108-40-01","30210618-09-01","20210528-02-02",NULL,NULL,"20210528-02-02","30220108-40-01","30210618-09-01","20210528-02-03",NULL,NULL,0,0,1,0,0,3,3
"30220110-13-01","30220108-40-01","30210618-09-01","20210528-02-03",NULL,NULL,"20210528-02-03","40220109-05-01",NULL,NULL,NULL,NULL,1,0,0,0,0,3,3
"30220110-13-01","40220109-05-01","40220106-50-01","20210620-01-02",NULL,NULL,"20210620-01-02",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,3,1
"30220110-14-01","30220108-39-01","20211206-07-15",NULL,NULL,NULL,"20211206-07-15","30220108-39-01","40220105-12-01",NULL,NULL,NULL,0,1,0,0,0,2,2
"30220110-14-01","30220108-39-01","40220105-12-01","20210619-19-03",NULL,NULL,"20210619-19-03","40220109-05-01",NULL,NULL,NULL,NULL,1,0,0,0,0,3,2
"30220110-14-01","40220109-05-01","40220106-50-01","20210620-01-02",NULL,NULL,"20210620-01-02",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,3,1
"30220110-16-01","30220109-04-01","30210618-38-01","20210519-24-23",NULL,NULL,"20210519-24-23","30220109-04-01","30210618-38-01","40210617-17-01",NULL,NULL,0,0,1,0,0,3,1
"30220110-16-01","30220109-04-01","30210618-38-01","40210617-17-01","20210528-19-22",NULL,"20210528-19-22",NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,4,1
"30220110-17-01","30220108-39-01","20211206-07-15",NULL,NULL,NULL,"20211206-07-15","30220108-39-01","40220105-12-01",NULL,NULL,NULL,0,1,0,0,0,2,2
"30220110-17-01","30220108-39-01","40220105-12-01","20210619-19-03",NULL,NULL,"20210619-19-03","30220109-01-01",NULL,NULL,NULL,NULL,1,0,0,0,0,3,2
"30220110-17-01","30220109-01-01","30220105-14-01","30210617-16-01","20210528-19-22",NULL,"20210528-19-22","30220109-01-01","30220105-14-01","30210617-16-01","20210529-01-01",NULL,0,0,0,1,0,4,4
