"ofabrico_sgp","ofabrico","encomenda","prf","cliente","cliente_nome","encomenda_sgp","prf_sgp","cliente_cod_sgp","cliente_nome_sgp"
1,"OFF-E0121/00107","EEF-E012011/00254","PRF-E0120/00254","100267","MEGA DISPOSABLES S.A.","EEF-E012011/00254","PRF-E0120/00254",100267,"MEGA DISPOSABLES S.A."
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"OFF-E0121/00111",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"OFF-E0121/00105","EEF-E012102/00049","PRF-E0121/00049","100563","BV Trading SA","EEF-E012102/00049","PRF-E0121/00049",100563,"BV Trading SA"
6,"OFF-E0121/00072","EEF-E012101/00001","PRF-E0121/00001","100433","Drylock Technologies SL","EEF-E012101/00001","PRF-E0121/00001",100433,"Drylock Technologies SL"
8,"OFF-E0121/00109","EEF-E012003/00055","PRF-E0120/00055","100234","NOVATIS S.A.","EEF-E012003/00055","PRF-E0120/00055",100234,"Novatis"
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"OFF-E0121/00119","EEF-E012101/00025","PRF-E0121/00025","100269","CAN HYGIENE SPA","EEF-E012101/00025","PRF-E0121/00025",100269,"CAN HYGIENE"
15,"OFF-E0121/00116","EEF-E012107/00222","PRF-E0121/00222","100428","Sanita S.A.L. ","EEF-E012107/00222","PRF-E0121/00222",100428,"Sanita S.A.L."
16,"OFF-E0121/00115","EEF-E012101/00016","PRF-E0121/00016","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00016","PRF-E0121/00016",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"OFF-E0121/00122","EEF-E012101/00025","PRF-E0121/00025","100269","CAN HYGIENE SPA","EEF-E012101/00025","PRF-E0121/00025",100269,"CAN HYGIENE"
24,"OFF-E0121/00061","EEF-E012101/00025","PRF-E0121/00025","100269","CAN HYGIENE SPA","EEF-E012101/00025","PRF-E0121/00025",100269,"CAN HYGIENE"
26,"OFF-E0121/00132","EEF-E012101/00016","PRF-E0121/00016","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00016","PRF-E0121/00016",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
28,"OFF-E0121/00128","EEF-E012011/00261","PRF-E0120/00261","100428","Sanita S.A.L. ","EEF-E012011/00261","PRF-E0120/00261",100428,"Sanita S.A.L."
29,"OFF-E0121/00133","EEF-E012011/00276","PRF-E0120/00276","100501","Napco Consumer Products Co. ","EEF-E012011/00276","PRF-E0120/00276",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
30,"OFF-E0121/00129","EEF-E012102/00048","PRF-E0121/00048","100267","MEGA DISPOSABLES S.A.","EEF-E012101/00017","PRF-E0121/00017",100267,"MEGA DISPOSABLES S.A."
31,"OFF-E0121/00131","EEF-E012102/00048","PRF-E0121/00048","100267","MEGA DISPOSABLES S.A.","EEF-E012102/00048","PRF-E0121/00048",100267,"MEGA DISPOSABLES S.A."
32,"OFF-E0121/00131","EEF-E012102/00048","PRF-E0121/00048","100267","MEGA DISPOSABLES S.A.","EEF-E012102/00048","PRF-E0121/00048",100267,"MEGA DISPOSABLES S.A."
34,"OFF-E0121/00132",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"OFF-E0121/00149","EEF-E012101/00018","PRF-E0121/00018","100228","Société d'Articles Hygiéniques","EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
39,"OFF-E0121/00134","EEF-E012101/00003"," ","100479","Drylock Technologies sro","EEF-E012101/00003","PRF-E0121/00003",100479,"Drylock Technologies sro"
