"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","diff","ofs"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313913",900.0,"KG","E012210CHG00000563","2022-10-20 15:33:45",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000558","2022-10-20 13:22:02",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50268",650.0,"KG","E012210CHG00000557","2022-10-20 12:41:30",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V22030103AB50329",650.0,"KG","E012210CHG00000552","2022-10-20 08:40:50","RVMAX0862000013","2022-10-20 11:12:05",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313922",900.0,"KG","E012210CHG00000551","2022-10-19 21:50:36","RSEBS0000000142","2022-10-20 08:38:29",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5030",650.0,"KG","E012210CHG00000550","2022-10-19 21:50:28","RVMAX0862000013","2022-10-20 03:21:21","2022-10-20 11:11:55",470,"OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313924",900.0,"KG","E012210CHG00000549","2022-10-19 21:39:29","RSEBS0000000142","2022-10-19 23:42:48","2022-10-20 08:37:29",534,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220918-01",755.0,"KG","E012210CHG00000540","2022-10-19 17:44:14","R00000000000001","2022-10-20 01:33:29","2022-10-20 10:29:48",536,"OFF-E0122/00383,OFF-E0122/00387"
"Reciclado Elastictek","R00000000000001","20220917-03",784.0,"KG","E012210CHG00000539","2022-10-19 17:43:56",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5023",650.0,"KG","E012210CHG00000538","2022-10-19 17:30:56","RVMAX0862000013","2022-10-19 21:08:20","2022-10-20 03:20:17",371,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000525","2022-10-19 17:02:31","RMWH00000000117","2022-10-20 15:35:20",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231613",900.0,"KG","E012210CHG00000520","2022-10-19 13:17:11","RSEBS0000000142","2022-10-19 14:23:50","2022-10-19 23:41:02",557,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB501",650.0,"KG","E012210CHG00000519","2022-10-19 11:17:05","RVMAX0862000013","2022-10-19 12:27:12","2022-10-19 21:06:47",519,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50135",650.0,"KG","E012210CHG00000518","2022-10-18 22:39:23","RVMAX0863000012","2022-10-19 10:36:58",NULL,NULL,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5031",650.0,"KG","E012210CHG00000517","2022-10-18 22:26:52","RVMAX0862000013","2022-10-19 05:56:08","2022-10-19 12:26:51",390,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313911",900.0,"KG","E012210CHG00000516","2022-10-18 22:26:09","RSEBS0000000142","2022-10-19 06:07:17","2022-10-19 14:23:21",496,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231619",900.0,"KG","E012210CHG00000512","2022-10-18 20:16:30","RSEBS0000000142","2022-10-18 22:13:03","2022-10-19 06:06:59",473,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5054",650.0,"KG","E012210CHG00000511","2022-10-18 19:48:00","RVMAX0862000013","2022-10-18 22:36:25","2022-10-19 05:55:47",439,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"ADT AOX L075","RAAOX0000000080","A220570",75.0,"KG","E012210CHG00000510","2022-10-18 17:58:42",NULL,NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012210CHG00000509","2022-10-18 17:58:30",NULL,NULL,NULL,NULL,NULL
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313917",900.0,"KG","E012210CHG00000500","2022-10-18 12:37:04","RSEBS0000000142","2022-10-18 13:57:07","2022-10-18 22:12:35",495,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5026",650.0,"KG","E012210CHG00000499","2022-10-18 12:30:17","RVMAX0862000013","2022-10-18 14:02:15","2022-10-18 22:13:27",491,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220919-01",758.0,"KG","E012210CHG00000490","2022-10-18 09:21:52","R00000000000001","2022-10-20 10:36:53",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"Reciclado Elastictek","R00000000000001","20220915-02",733.0,"KG","E012210CHG00000489","2022-10-18 09:21:21","R00000000000001","2022-10-19 09:38:25","2022-10-20 01:32:30",954,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313912",900.0,"KG","E012210CHG00000488","2022-10-17 22:48:38","RSEBS0000000142","2022-10-18 06:30:59","2022-10-18 13:56:35",445,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50106",650.0,"KG","E012210CHG00000481","2022-10-17 22:20:03","RVMAX0862000013","2022-10-18 00:34:32","2022-10-18 06:39:47",365,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50155",650.0,"KG","E012210CHG00000480","2022-10-17 22:19:05","RVMAX0862000013","2022-10-18 06:40:02","2022-10-18 13:59:36",439,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50184",650.0,"KG","E012210CHG00000479","2022-10-17 22:18:07","RVMAX0863000012","2022-10-18 00:34:00","2022-10-19 10:36:37",2042,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",400.0,"KG","E012210CHG00000467","2022-10-17 07:45:23","RMWH00000000117","2022-10-19 04:34:02","2022-10-20 15:34:54",2100,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220920-01",746.0,"KG","E012210CHG00000466","2022-10-17 07:24:33","R00000000000001","2022-10-18 17:37:06","2022-10-19 09:38:11",961,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220918-02",785.0,"KG","E012210CHG00000465","2022-10-17 07:24:14","R00000000000001","2022-10-18 07:29:34","2022-10-18 17:36:52",607,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220919-02",822.0,"KG","E012210CHG00000464","2022-10-17 07:21:32","R00000000000001","2022-10-17 08:29:52","2022-10-18 07:29:22",1379,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB506",650.0,"KG","E012210CHG00000463","2022-10-16 22:09:50","RVMAX0862000013","2022-10-17 03:30:58","2022-10-17 17:42:22",851,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB5020",650.0,"KG","E012210CHG00000462","2022-10-16 22:09:41","RVMAX0862000013","2022-10-17 17:42:45","2022-10-18 00:34:19",411,"OFF-E0122/00386"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231612",900.0,"KG","E012210CHG00000461","2022-10-16 22:09:32","RSEBS0000000142","2022-10-17 04:27:17","2022-10-17 19:45:37",918,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313914",900.0,"KG","E012210CHG00000460","2022-10-16 22:09:24","RSEBS0000000142","2022-10-17 19:45:49","2022-10-18 06:29:14",643,"OFF-E0122/00386"
"Reciclado Elastictek","R00000000000001","20220920-02",784.0,"KG","E012210CHG00000459","2022-10-16 21:49:47","R00000000000001","2022-10-17 07:10:48","2022-10-17 08:22:04",71,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
